origen;destino;precio;numpasaje;numplazas;codigo;fecha;duracion;tripulantes
Madrid;Barcelona;55.75;98;140;IB100;01/06/2023;75;PP0003,CP0004,AV0015,AV0006,AV0007
Barcelona;Madrid;65.50;112;140;IB101;01/06/2023;75;PP0001,CP0006,AV0013,AV0014,AV0025,AV0026	
Madrid;Valencia;45.25;100;100;RY200;01/06/2023;85;PP0005,CP0002,AV0017,AV0008,AV0019,AV0011		
Valencia;Madrid;50.00;90;100;RY201;02/06/2023;85;PP0001,CP0007,AV0014,AV0011,AV0025
Madrid;Paris;120.00;80;90;AF300;02/06/2023;120;PP0004,CP0002,AV0015,AV0014,AV0017,AV0008,AV0021		
Paris;Madrid;110.50;85;90;AF301;03/06/2023;120;PP0007,CP0004,AV0019,AV0020,AV0021		
Madrid;London;150.75;65;80;BA400;03/06/2023;150;PP0002,CP0003,AV0022,AV0004,AV0015,AV0006,AV0013,AV0004	
London;Madrid;135.25;72;80;BA401;04/06/2023;150;PP0002,CP0003,AV0007,AV0023,AV0021,AV0028		
Madrid;Amsterdam;95.25;60;60;KL500;04/06/2023;135;PP0006,CP0003,AV0001,AV0002,AV0005,AV0024,AV0012	
Amsterdam;Madrid;85.50;55;60;KL501;05/06/2023;135;PP0003,CP0004,AV0015,AV0006,AV0007		
Madrid;Frankfurt;110.00;45;50;LH600;05/06/2023;130;PP0003,CP0004,AV0019,AV0020,AV0011,AV0012		
Frankfurt;Madrid;105.00;48;50;LH601;06/06/2023;130;PP0003,CP0004,AV0003,AV0004,AV0015,AV0016,AV0021		
Madrid;New York;350.50;20;30;AA700;06/06/2023;480;PP0004,CP0004,AV0027,AV0008,AV0009		
New York;Madrid;375.00;18;30;AA701;07/06/2023;480;PP0004,CP0005,AV0011,AV0012,AV0003,AV0014,AV0005		
Madrid;Milan;90.00;60;70;AZ800;07/06/2023;120;PP0004,CP0005,AV0006,AV0017,AV0018,AV0019,AV0020		
Milan;Madrid;80.75;65;70;AZ801;08/06/2023;120;PP0002,CP0006,AV0011,AV0002,AV0023		
Madrid;Munich;105.25;40;50;EW900;08/06/2023;130;PP0004,CP0005,AV0015,AV0016,AV0007,AV0018,AV0012		
Munich;Madrid;98.50;42;50;EW901;09/06/2023;130;PP0005,CP0007,AV0019,AV0020,AV0011,AV0022		
Madrid;Rome;85.00;75;90;VY1000;09/06/2023;140;PP0003,CP0006,AV0023,AV0014		
Rome;Madrid;90.25;80;90;VY1001;10/06/2023;140;PP0005,CP0006,AV0021,AV0008,AV0009,AV0010		
Madrid;Barcelona;55.75;100;140;IB100;10/06/2023;75;PP0005,CP0006,AV0001,AV0022,AV0013,AV0014,AV0012		
Barcelona;Madrid;65.50;140;140;IB101;11/06/2023;75;PP0007,CP0002,AV0005,AV0006,AV0017,AV0018		
Madrid;Valencia;45.25;80;80;RY200;11/06/2023;85;PP0005,CP0008,AV0009,AV0010,AV0011,AV0022,AV0016		
Valencia;Madrid;50.00;95;100;RY201;12/06/2023;85;PP0001,CP0003,AV0003,AV0014,AV0025,AV0016		
Madrid;Paris;120.00;85;90;KL300;12/06/2023;120;PP0007,CP0008,AV0017,AV0008,AV0009,AV0001		
Paris;Madrid;110.50;90;90;KL301;13/06/2023;120;PP0006,CP0005,AV0101,AV0102,AV0103,AV0104		
Madrid;London;150.75;70;80;BA400;13/06/2023;150;PP0003,CP0006,AV0023,AV0014,AV0025		